     78.12 1.032311e+03 5.403945e+02 8.761450e+02 2.511000e-02
    117.19 1.230365e+03 6.926807e+02 1.084029e+03 3.044200e-02
    156.25 1.144787e+03 6.713662e+02 1.028350e+03 4.278700e-02
    195.31 1.329469e+03 7.954184e+02 1.206934e+03 4.557000e-02
    292.97 1.405626e+03 8.777063e+02 1.297986e+03 6.356000e-02
    390.62 1.409443e+03 8.992806e+02 1.312446e+03 8.381300e-02
    781.25 1.269471e+03 8.323969e+02 1.198603e+03 1.835470e-01
   1562.50 1.420233e+03 9.424849e+02 1.349722e+03 3.259930e-01
   3125.00 1.417437e+03 9.487554e+02 1.352450e+03 6.506710e-01
   7812.50 1.414420e+03 9.515608e+02 1.352801e+03 1.626256e+00
  15625.00 1.418480e+03 9.560481e+02 1.357880e+03 3.240345e+00
  31250.00 1.411360e+03 9.573753e+02 1.352397e+03 6.506966e+00
  46875.00 1.396157e+03 9.446394e+02 1.337567e+03 9.868662e+00
  62500.00 1.394651e+03 9.173802e+02 1.331313e+03 1.322003e+01
 117187.50 1.395756e+03 8.685607e+02 1.322597e+03 2.495091e+01
