     78.12 9.911785e+02 4.742708e+02 8.271610e+02 2.659700e-02
    117.19 1.234416e+03 6.486486e+02 1.073729e+03 3.073400e-02
    156.25 1.106134e+03 6.176652e+02 9.854865e+02 4.464800e-02
    195.31 1.254989e+03 6.790710e+02 1.120254e+03 4.909600e-02
    292.97 1.405863e+03 6.665482e+02 1.240061e+03 6.652900e-02
    390.62 1.413527e+03 6.757670e+02 1.257172e+03 8.749800e-02
    781.25 1.422941e+03 7.411525e+02 1.297935e+03 1.695000e-01
   1562.50 1.406509e+03 7.861017e+02 1.304488e+03 3.372970e-01
   3125.00 1.428449e+03 8.247168e+02 1.335316e+03 6.590200e-01
   7812.50 1.431816e+03 8.442630e+02 1.344955e+03 1.635743e+00
  15625.00 1.427717e+03 8.478762e+02 1.343239e+03 3.275664e+00
  31250.00 1.385072e+03 3.484453e+02 1.089763e+03 8.075153e+00
  46875.00 1.381425e+03 2.982239e+02 1.038228e+03 1.271397e+01
  62500.00 1.377115e+03 2.994651e+02 1.037401e+03 1.696548e+01
 117187.50 1.377735e+03 3.014565e+02 1.040023e+03 3.173006e+01
